date,open,high,close,low,volume,p_change
2019-07-16,3819.25,3828.33,3806.84,3799.87,80730952.0,-0.45
2019-07-17,3800.11,3820.27,3804.64,3787.9,95183880.0,-0.06
2019-07-18,3793.19,3793.39,3768.4,3768.0,87496448.0,-0.95
2019-07-19,3787.51,3828.15,3807.96,3787.51,88086152.0,1.05
2019-07-22,3813.5,3816.54,3781.68,3765.44,92101376.0,-0.69
2019-07-23,3783.54,3792.96,3789.91,3768.76,71313344.0,0.22
2019-07-24,3803.59,3840.06,3819.83,3803.57,90940680.0,0.79
2019-07-25,3821.39,3851.07,3851.07,3812.95,93740424.0,0.82
2019-07-26,3835.23,3863.59,3858.57,3832.52,83259296.0,0.2
2019-07-29,3857.94,3862.75,3854.27,3842.43,84814368.0,-0.11
2019-07-30,3861.57,3890.73,3870.32,3861.57,94123952.0,0.42
2019-07-31,3856.74,3856.74,3835.36,3830.09,82151152.0,-0.9
2019-08-01,3819.32,3831.26,3803.47,3791.55,84114184.0,-0.83
2019-08-02,3729.13,3754.53,3747.44,3720.06,108335896.0,-1.47
2019-08-05,3724.41,3739.5,3675.69,3675.69,101325976.0,-1.92
2019-08-06,3609.11,3649.9,3636.33,3575.86,129833872.0,-1.07
2019-08-07,3654.63,3659.08,3621.43,3621.43,84238712.0,-0.41
2019-08-08,3651.36,3675.46,3669.29,3646.94,88457704.0,1.32
2019-08-09,3686.75,3689.18,3633.53,3628.12,85295584.0,-0.97
2019-08-12,3647.87,3699.1,3699.1,3643.32,82083056.0,1.8
2019-08-13,3675.59,3686.43,3665.75,3658.01,76500304.0,-0.9
2019-08-14,3712.07,3717.56,3682.4,3680.61,91202592.0,0.45
2019-08-15,3618.01,3694.3,3694.0,3612.11,88598832.0,0.32
2019-08-16,3697.94,3738.1,3710.54,3687.08,88319168.0,0.45
2019-08-19,3736.03,3791.09,3791.09,3720.69,139327024.0,2.17
2019-08-20,3786.03,3799.9,3787.73,3778.73,108602088.0,-0.09
2019-08-21,3778.31,3792.6,3781.76,3775.45,82299880.0,-0.16
2019-08-22,3793.86,3797.33,3793.51,3771.2,85807792.0,0.31
2019-08-23,3796.88,3829.36,3820.86,3788.03,87954584.0,0.72
2019-08-26,3756.36,3778.87,3765.91,3753.16,93859264.0,-1.44
2019-08-27,3791.46,3848.24,3816.95,3790.87,124731472.0,1.35
2019-08-28,3818.81,3822.59,3802.58,3790.14,88750808.0,-0.38
2019-08-29,3805.49,3808.6,3790.19,3774.4,84083392.0,-0.33
2019-08-30,3816.68,3828.97,3799.59,3778.92,96695152.0,0.25
2019-09-02,3803.69,3855.78,3848.32,3799.82,110289344.0,1.28
2019-09-03,3852.58,3856.68,3853.61,3833.76,97714624.0,0.14
2019-09-04,3848.65,3886.0,3886.0,3846.42,126628616.0,0.84
2019-09-05,3909.21,3970.0,3925.32,3909.21,181656224.0,1.01
2019-09-06,3946.69,3948.54,3948.51,3922.34,121882376.0,0.59
2019-09-09,3980.96,3985.24,3972.95,3954.88,146809760.0,0.62
2019-09-10,3976.87,3976.92,3959.26,3938.74,130889392.0,-0.34
2019-09-11,3969.68,3971.22,3930.1,3922.95,131594872.0,-0.74
2019-09-12,3944.69,3975.93,3972.38,3933.44,110241272.0,1.08
2019-09-16,3981.36,3982.2,3957.72,3943.37,110259808.0,-0.37
2019-09-17,3947.16,3947.16,3891.22,3879.49,113694320.0,-1.68
2019-09-18,3902.99,3923.15,3910.08,3902.51,82056152.0,0.48
2019-09-19,3923.96,3924.38,3924.38,3897.07,85984232.0,0.37
2019-09-20,3933.46,3942.22,3935.65,3921.41,103455960.0,0.29
2019-09-23,3925.19,3925.19,3890.66,3868.21,94036224.0,-1.14
2019-09-24,3895.87,3927.01,3901.08,3886.14,87783232.0,0.27
2019-09-25,3887.55,3889.84,3870.98,3867.23,89520832.0,-0.77
2019-09-26,3884.7,3890.75,3841.14,3840.25,102698304.0,-0.77
2019-09-27,3843.46,3859.5,3852.65,3832.25,74003944.0,0.3
2019-09-30,3842.07,3857.23,3814.53,3813.55,65931316.0,-0.99
2019-10-08,3818.59,3861.64,3837.68,3818.59,76657856.0,0.61
